team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
FFC,Jonathan Grant,2,d,Jonathan,Grant,78,47,25,76.0,1,0.0,0,1,0,0,0,0,0,0,0,10,2,5,0,1,0,1,4,0,0,0,0
FFC,Kadell Thomas,17,f,Kadell,Thomas,46,28,12,85.7,3,0.0,0,1,0,1,0,1,0,2,0,14,5,0,0,0,0,0,3,0,0,0,0
FFC,Klaidi Cela,16,d,Klaidi,Cela,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFC,Kwame Awuah,6,d,Kwame,Awuah,180,141,97,62.5,2,0.0,0,0,1,1,1,0,1,5,2,18,12,6,2,0,0,1,2,0,0,0,0
FFC,Kyle Bekker,10,m,Kyle,Bekker,180,98,74,80.6,9,0.0,0,0,1,5,2,1,4,0,0,14,5,2,1,0,0,3,1,0,0,0,0
FFC,Marcel Zajac,9,f,Marcel,Zajac,45,15,7,71.4,1,0.0,0,0,0,1,0,1,0,0,0,6,3,1,0,1,0,2,1,0,0,0,0
FFC,Maxim Tissot,15,d,Maxim,Tissot,55,38,25,42.9,5,0.0,0,1,0,1,1,1,0,2,1,6,2,1,0,0,0,0,0,0,0,0,0
FFC,Molham Babouli,19,f,Mo,Babouli,92,34,20,100.0,0,0.0,0,0,0,1,1,1,0,2,2,10,4,1,1,0,0,0,1,0,0,0,0
FFC,Paolo Sabak,24,m,Paolo,Sabak,159,104,79,84.4,2,0.0,0,2,0,2,0,1,1,0,0,22,11,2,2,0,0,6,3,0,0,0,0
FFC,Triston Henry,1,g,Triston,Henry,180,86,64,64.5,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,6,2,1
HFX,Aboubacar Sissoko,17,m,Aboubacar,Sissoko,90,56,38,76.3,1,0.0,0,0,0,0,0,0,0,3,2,20,11,0,1,0,0,2,1,0,0,0,0
HFX,Akeem Garcia,11,f,Akeem,Garcia,34,11,9,77.8,0,0.0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
HFX,Alessandro Riggi,10,f,Alessandro,Riggi,56,15,7,57.1,1,0.0,0,0,0,0,0,0,0,1,1,9,2,0,0,0,0,1,1,0,0,0,0
HFX,Alex De Carolis,24,d,Alex,De Carolis,81,36,15,66.7,5,60.0,0,2,0,0,0,0,0,1,1,5,5,0,1,0,0,1,0,0,0,0,0
HFX,Alex Marshall,7,m,Alex,Marshall,18,12,6,66.7,1,0.0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,1,0,0,0,0,0
HFX,Andre Rampersad,18,m,Andre,Rampersad,90,44,27,77.8,0,0.0,0,1,0,0,0,0,0,1,0,9,5,2,3,0,0,3,0,0,0,0,0
HFX,Cory Bent,23,m,Cory,Bent,90,57,30,60.0,10,30.0,0,2,0,1,0,1,0,3,1,22,9,0,0,0,0,5,3,0,0,0,0
HFX,Ibrahima Sanoh,9,f,Ibrahima,Sanoh,9,6,2,50.0,1,0.0,0,0,1,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
HFX,Jake Ruby,20,d,Jake,Ruby,90,59,31,80.6,2,0.0,0,0,0,1,1,1,0,2,2,12,4,2,0,0,0,0,2,0,0,0,0
HFX,Jason Beaulieu,1,g,Jason,Beaulieu,90,32,23,73.9,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,2,0,0
HFX,Jems Geffrard,3,d,Jems,Geffrard,90,51,41,85.4,0,0.0,0,0,0,2,1,2,0,1,1,3,2,4,2,0,0,0,1,0,0,0,0
HFX,João Morelli Neto,22,f,João,Morelli,72,32,21,76.2,1,0.0,0,0,1,1,1,1,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0
HFX,Louis Béland-Goyette,5,m,Louis,Béland-Goyette,81,50,31,83.9,1,0.0,0,1,0,1,0,0,1,3,2,16,7,0,3,1,0,0,5,0,0,0,0
HFX,Mateo Restrepo,14,d,Mateo,Restrepo,9,8,6,50.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX,Peter Schaale,2,d,Peter,Schaale,90,54,38,65.8,0,0.0,0,0,0,1,0,1,0,3,2,6,4,5,2,0,0,0,0,0,0,0,0
PFC,Alejandro Díaz Liceága,9,f,Alejandro,Diaz,40,14,12,100.0,0,0.0,0,1,0,0,0,0,0,1,1,5,2,0,0,0,0,0,1,0,0,0,0
PFC,Alessandro Hojabrpour,21,m,Alessandro,Hojabrpour,154,59,46,79.2,0,0.0,0,1,0,2,0,1,1,4,3,13,7,1,0,0,0,1,4,0,0,0,0
PFC,Jamar Dixon,22,m,Jamar,Dixon,98,36,24,75.0,0,0.0,0,1,0,0,0,0,0,3,2,9,4,2,0,0,0,1,3,0,0,0,0
PFC,Jordan Haynes,3,d,Jordan,Haynes,109,108,74,80.4,3,50.0,0,1,0,0,0,0,0,5,2,14,8,2,4,1,0,0,2,0,0,0,0
PFC,Josh Heard,11,m,Josh,Heard,18,10,5,100.0,0,0.0,0,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0
PFC,Kadin Chung,7,d,Kadin,Chung,180,149,84,85.1,8,0.0,0,2,0,0,0,0,0,6,4,27,20,4,1,0,0,5,1,0,0,0,0
