team,name,Min,ExpG,ExpA,Goal,PsOnHfFl,SucflDuels,Touches,DuelLs,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials
HFX Wanderers,André Bona,90,0.0,0.0,0,7,12,77,4,4,1,14,5,15,26,5
HFX Wanderers,André Bona,90,0.0,0.0,0,6,11,74,1,4,4,14,5,8,25,5
HFX Wanderers,André Bona,90,0.0,0.33,0,2,7,74,6,2,0,4,0,6,31,1
HFX Wanderers,André Bona,90,0.0,0.03,0,2,7,74,3,1,2,6,2,10,29,2
HFX Wanderers,André Bona,90,0.0,0.05,0,4,9,71,7,2,1,9,3,4,31,4
HFX Wanderers,André Bona,90,0.19,0.0,0,2,4,66,2,0,0,3,2,6,23,3
HFX Wanderers,André Bona,90,0.0,0.0,0,6,2,65,6,2,1,7,4,7,30,1
HFX Wanderers,André Bona,90,0.06,0.0,0,5,5,65,7,3,0,5,2,10,22,4
HFX Wanderers,André Bona,90,0.08,0.0,0,2,4,65,8,2,2,9,4,8,27,3
HFX Wanderers,André Bona,90,0.15,0.07,0,8,7,63,5,3,1,9,4,8,19,2
HFX Wanderers,André Bona,90,0.34,0.0,0,3,2,61,6,1,0,9,7,5,20,6
HFX Wanderers,André Bona,90,0.0,0.14,0,4,11,60,3,3,2,11,6,5,29,6
HFX Wanderers,André Bona,90,0.0,0.0,0,4,3,60,6,1,3,10,5,6,21,0
HFX Wanderers,André Bona,90,0.13,0.24,0,1,2,57,3,0,4,7,2,6,26,3
HFX Wanderers,André Bona,90,0.0,0.12,0,1,5,57,1,1,1,8,5,6,16,4
HFX Wanderers,André Bona,77,0.07,0.03,0,3,7,56,6,1,1,5,2,3,11,6
HFX Wanderers,André Bona,90,0.0,0.0,0,6,10,55,6,7,0,13,4,5,15,2
HFX Wanderers,André Bona,90,0.0,0.0,0,5,4,52,4,2,1,6,2,5,20,1
HFX Wanderers,André Bona,90,0.26,0.04,0,3,5,44,4,2,2,7,3,1,14,5
HFX Wanderers,André Bona,30,0.14,0.0,0,1,3,25,1,1,1,3,1,1,14,2
HFX Wanderers,André Bona,37,0.0,0.0,0,0,1,24,1,1,2,3,0,2,8,0
HFX Wanderers,André Bona,19,0.09,0.0,0,0,4,19,0,0,0,2,1,2,11,2
HFX Wanderers,André Bona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Ramón Soria,90,0.0,0.0,0,3,5,82,1,0,3,4,1,19,46,2
Edmonton,Ramón Soria,90,0.08,0.0,1,1,2,80,2,0,2,5,1,4,56,1
Edmonton,Ramón Soria,90,0.0,0.07,0,4,8,74,4,7,4,11,0,9,37,0
Edmonton,Ramón Soria,90,0.06,0.53,0,2,4,72,2,1,0,4,2,4,38,2
Edmonton,Ramón Soria,90,0.15,0.16,0,5,4,70,3,1,0,5,3,9,46,3
Edmonton,Ramón Soria,90,0.0,0.58,0,1,2,69,3,0,1,1,0,10,37,3
Edmonton,Ramón Soria,90,0.0,0.02,0,3,4,69,5,0,1,3,0,3,47,2
Edmonton,Ramón Soria,90,0.0,0.0,0,1,4,69,7,3,0,4,0,8,42,2
Edmonton,Ramón Soria,89,0.07,0.0,0,4,3,66,3,1,2,6,2,9,38,1
Edmonton,Ramón Soria,90,0.0,0.15,0,3,3,63,1,0,1,4,1,9,37,0
Edmonton,Ramón Soria,90,0.08,0.11,0,5,2,61,2,0,0,0,0,5,34,4
Edmonton,Ramón Soria,90,0.0,0.0,0,3,3,61,4,2,1,3,0,6,41,4
Edmonton,Ramón Soria,90,0.0,0.0,0,3,3,60,1,1,1,4,2,7,43,3
Edmonton,Ramón Soria,90,0.25,0.0,0,4,3,56,3,1,1,4,2,9,29,3
Edmonton,Ramón Soria,90,0.0,0.53,0,2,3,54,0,1,3,6,1,7,31,1
Edmonton,Ramón Soria,90,0.0,0.0,0,2,4,53,3,3,7,12,1,5,30,2
Edmonton,Ramón Soria,90,0.0,0.04,0,5,3,53,3,1,4,8,2,4,35,2
Edmonton,Ramón Soria,90,0.0,0.0,0,3,5,53,4,1,1,5,1,1,33,1
Edmonton,Ramón Soria,90,0.0,0.39,0,1,3,52,4,0,0,4,4,5,33,3
Edmonton,Ramón Soria,90,0.0,0.0,0,5,1,50,2,0,0,1,1,2,30,2
Edmonton,Ramón Soria,90,0.03,0.23,0,4,4,49,2,0,0,1,1,5,31,5
Edmonton,Ramón Soria,90,0.04,0.0,0,1,4,46,2,1,0,1,0,4,27,4
Edmonton,Ramón Soria,31,0.0,0.05,0,0,2,28,5,0,0,2,1,2,11,2
Edmonton,Ramón Soria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Ramón Soria,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Edmonton,Mélé Temguia,90,0.0,0.0,0,3,7,81,6,3,1,7,2,7,22,2
Edmonton,Mélé Temguia,90,0.0,0.0,0,9,6,80,7,4,2,9,2,9,16,3
Edmonton,Mélé Temguia,90,0.0,0.0,0,2,11,78,3,3,0,15,8,5,29,4
Edmonton,Mélé Temguia,90,0.0,0.05,0,4,4,75,5,1,1,7,4,7,22,3
Edmonton,Mélé Temguia,90,0.07,0.0,0,2,7,75,3,1,0,5,3,5,28,3
Edmonton,Mélé Temguia,90,0.48,0.03,0,2,5,74,3,0,4,5,1,12,34,4
Edmonton,Mélé Temguia,90,0.16,0.0,0,4,4,73,5,3,4,10,3,5,28,1
Edmonton,Mélé Temguia,89,0.0,0.0,0,0,7,72,3,3,1,8,4,5,25,1
Edmonton,Mélé Temguia,90,0.0,0.0,0,1,4,70,3,1,3,6,1,5,31,2
Edmonton,Mélé Temguia,90,0.0,0.02,0,5,4,69,4,2,0,5,2,9,32,2
Edmonton,Mélé Temguia,90,0.07,0.0,0,5,5,69,4,1,1,7,3,3,28,4
Edmonton,Mélé Temguia,90,0.0,0.0,0,1,5,67,3,3,0,6,3,3,18,1
Edmonton,Mélé Temguia,90,0.0,0.0,0,3,4,65,3,1,2,9,5,7,26,3
Edmonton,Mélé Temguia,90,0.0,0.0,0,9,8,64,6,0,2,6,4,6,24,6
Edmonton,Mélé Temguia,90,0.0,0.0,0,2,5,63,11,1,2,4,1,5,33,8
Edmonton,Mélé Temguia,90,0.0,0.0,0,3,4,62,2,0,5,12,6,6,26,2
Edmonton,Mélé Temguia,90,0.0,0.0,0,8,6,60,5,2,1,10,7,8,16,3
Edmonton,Mélé Temguia,90,0.0,0.0,0,3,8,59,5,0,3,10,5,4,20,5
Edmonton,Mélé Temguia,90,0.04,0.0,0,5,7,59,1,2,1,6,2,3,19,2
Edmonton,Mélé Temguia,90,0.0,0.0,0,2,2,54,2,0,2,8,5,3,15,1
Edmonton,Mélé Temguia,90,0.11,0.0,0,2,4,51,5,2,4,8,1,3,13,0
