team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
Valour,Diego Gutiérrez,22,0.0,0.0,0,0,0,0,0,15,6,8,19,1,4,100.0%
HFX Wanderers,Juan Diego Gutiérrez,26,0.0,0.0,0,0,0,0,0,10,3,6,17,2,3,50.0%
Valour,Diego Gutiérrez,21,0.0,0.0,0,0,0,0,0,12,0,5,15,0,4,-
HFX Wanderers,Juan Diego Gutiérrez,12,0.11,0.0,0,0,0,0,0,6,1,5,14,2,1,-
HFX Wanderers,Juan Diego Gutiérrez,15,0.0,0.0,0,0,0,0,0,4,2,0,10,3,3,-
HFX Wanderers,Juan Diego Gutiérrez,24,0.06,0.0,0,0,0,0,0,4,3,1,9,1,1,100.0%
HFX Wanderers,Juan Diego Gutiérrez,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Valour,Diego Gutiérrez,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
York9,Joseph Di Chiara,90,0.0,0.43,0,0,0,0,0,71,34,29,89,7,10,75.0%
York9,Joseph Di Chiara,74,0.03,0.0,0,0,0,0,0,67,40,20,81,6,6,50.0%
York9,Joseph Di Chiara,90,0.1,0.0,0,0,0,0,0,57,17,33,80,5,15,83.3%
York9,Joseph Di Chiara,90,0.83,0.28,1,1,0,0,1,66,31,31,77,6,4,40.0%
York9,Joseph Di Chiara,90,0.88,0.12,1,1,0,0,0,59,32,21,73,5,6,50.0%
York9,Joseph Di Chiara,90,0.07,0.0,0,0,0,0,0,53,20,30,73,4,6,66.7%
York9,Joseph Di Chiara,90,0.03,0.02,0,0,0,0,0,56,28,23,72,1,5,100.0%
York9,Joseph Di Chiara,90,0.0,0.0,0,0,0,0,0,52,33,12,71,6,8,75.0%
York9,Joseph Di Chiara,90,0.13,0.0,0,0,0,0,0,60,30,25,70,4,4,-
York9,Joseph Di Chiara,90,0.24,0.0,0,0,0,0,0,51,25,21,69,6,3,0.0%
York9,Joseph Di Chiara,90,0.07,0.26,0,0,0,0,0,46,14,26,64,8,5,0.0%
York9,Joseph Di Chiara,84,0.13,0.0,0,0,0,0,0,39,16,18,63,8,7,33.3%
York9,Joseph Di Chiara,90,0.0,0.0,0,0,0,0,0,43,19,17,62,7,7,100.0%
York9,Joseph Di Chiara,90,0.1,0.0,0,0,0,0,0,43,23,17,61,8,7,50.0%
York9,Joseph Di Chiara,61,0.0,0.0,0,0,0,0,0,46,18,19,58,2,6,100.0%
York9,Joseph Di Chiara,90,0.03,0.07,0,0,0,0,0,40,20,13,57,11,8,66.7%
York9,Joseph Di Chiara,90,0.0,0.03,0,0,0,0,0,33,12,16,53,9,11,100.0%
York9,Joseph Di Chiara,87,0.0,0.03,0,0,0,0,0,28,12,9,51,1,7,83.3%
York9,Joseph Di Chiara,88,0.0,0.0,0,0,0,0,0,29,13,13,48,8,9,50.0%
York9,Joseph Di Chiara,72,0.04,0.03,0,0,0,0,0,26,12,11,35,6,3,100.0%
York9,Joseph Di Chiara,8,0.0,0.0,0,0,0,0,0,13,8,2,18,1,2,-
