team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOpHfScs,ChncOpnPl,SucflDuels,Touches,DuelLs,Recovery,FlComA3,FlSufM3,Disposs,TchsA3,TouchOpBox,PsCmpA3,display
Forge,Christopher Nanco,90,0.0,0.3,0,0,5,19,10,1,5,37,6,8,2,1,2,22,3,7,Chris Nanco
Forge,Christopher Nanco,90,0.5,0.03,1,1,4,18,11,1,1,35,9,6,3,0,2,26,6,10,Chris Nanco
Forge,Christopher Nanco,90,0.0,0.0,0,0,5,17,8,0,3,32,9,9,0,1,2,16,2,4,Chris Nanco
Forge,Christopher Nanco,67,0.12,0.6,0,1,6,15,6,2,4,30,7,3,1,1,2,26,11,6,Chris Nanco
Forge,Christopher Nanco,58,0.03,0.06,0,1,7,12,5,1,4,27,2,0,0,0,0,18,1,4,Chris Nanco
Forge,Christopher Nanco,57,0.0,0.0,0,0,2,19,10,0,1,26,5,5,0,0,1,12,0,7,Chris Nanco
Forge,Christopher Nanco,59,0.0,0.0,0,0,1,8,4,0,2,25,6,2,2,1,2,13,1,2,Chris Nanco
Forge,Christopher Nanco,67,0.02,0.0,0,0,3,6,2,0,5,25,6,3,1,3,0,11,0,1,Chris Nanco
Forge,Christopher Nanco,33,0.05,0.0,0,1,2,11,9,0,1,20,2,2,0,0,2,14,3,7,Chris Nanco
Forge,Christopher Nanco,20,0.0,0.0,0,0,0,4,3,0,1,15,4,1,1,0,1,11,0,2,Chris Nanco
Forge,Christopher Nanco,40,0.17,0.0,1,0,2,7,2,0,2,14,5,3,0,0,0,3,2,0,Chris Nanco
Forge,Christopher Nanco,21,0.0,0.0,0,0,1,9,8,0,0,12,2,1,0,0,0,7,0,7,Chris Nanco
Forge,Christopher Nanco,27,0.0,0.0,0,0,2,6,2,0,2,11,2,1,0,0,0,1,0,1,Chris Nanco
Forge,Christopher Nanco,26,0.0,0.0,0,0,1,6,2,0,1,11,1,1,0,0,0,7,2,2,Chris Nanco
Forge,Christopher Nanco,9,0.0,0.0,0,0,1,4,3,0,0,10,5,0,0,0,2,8,1,2,Chris Nanco
Forge,Christopher Nanco,21,0.0,0.0,0,0,2,5,2,0,2,9,0,1,0,1,0,5,2,2,Chris Nanco
Forge,Christopher Nanco,17,0.0,0.0,0,0,0,1,1,0,0,4,5,0,1,0,0,2,0,1,Chris Nanco
Forge,Christopher Nanco,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Nanco
Forge,Christopher Nanco,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Nanco
Forge,Christopher Nanco,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Nanco
Forge,Christopher Nanco,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Nanco
Forge,Kadell Thomas,90,0.07,0.11,1,0,7,30,12,1,8,62,14,9,1,3,4,25,3,8,Kadell Thomas
Forge,Kadell Thomas,69,0.03,0.0,0,0,4,23,9,0,9,51,9,9,0,1,6,21,1,8,Kadell Thomas
Forge,Kadell Thomas,73,0.1,0.0,0,1,3,20,9,0,4,47,8,8,3,1,2,28,5,6,Kadell Thomas
Forge,Kadell Thomas,68,0.0,0.0,0,0,3,25,13,0,2,36,4,8,1,0,1,14,1,10,Kadell Thomas
Forge,Kadell Thomas,34,0.09,0.0,1,0,1,19,17,0,1,32,4,2,0,0,3,18,3,9,Kadell Thomas
Forge,Kadell Thomas,32,0.03,0.0,0,1,2,10,6,0,2,19,5,0,0,0,0,13,1,5,Kadell Thomas
Forge,Kadell Thomas,44,0.04,0.0,0,1,4,9,4,0,0,18,4,3,0,0,1,5,1,1,Kadell Thomas
Forge,Kadell Thomas,33,0.05,0.07,0,0,3,9,6,1,2,16,4,0,1,0,1,14,1,6,Kadell Thomas
