Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,xG,Goal,Shot,ShotExcBlk,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
32,1,br7fuyg4h8gseboweg8wjujft,225054,90,22,Central Defender,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,72,62,93.5%,100.0%,0,0,0.00,0.04,0,1,0,0,0.0%,0.0%,33.3%,50.0%,6,HFX vs PAC,2020-08-15,7t269w4kohpnnx91dmg5bwis4,15376,br7fuyg4h8gseboweg8wjujft:2126221,HFX vs PAC (2020-08-15)
32,1,6rsihixcpnuyulgk4giwpzvth,228121,90,25,Right Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,72,52,82.7%,66.7%,0,0,0.03,0.00,0,0,0,0,-,-,71.4%,100.0%,2,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,6rsihixcpnuyulgk4giwpzvth:2126225,FOR vs EDM (2020-08-16)
35,1,ddyudctrqh7j4vqoofwg0oull,232384,90,20,Right Back,Malyk,Hamilton,M. Hamilton,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,71,46,91.3%,92.9%,0,0,0.07,0.00,0,0,0,0,-,20.0%,30.0%,-,8,Y9 vs ATO,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,15382,ddyudctrqh7j4vqoofwg0oull:2126220,Y9 vs ATO (2020-08-15)
35,1,653qyopyxl1qrfmul2n3m5g16,481743,90,26,Right Back,Morey,Doner,M. Doner,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,71,36,83.3%,90.9%,1,0,0.10,0.00,0,0,0,0,-,-,75.0%,100.0%,2,Y9 vs ATO,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,16614,653qyopyxl1qrfmul2n3m5g16:2126220,Y9 vs ATO (2020-08-15)
35,1,7ta110w4agnmtkjsfpgilj2wa,481559,90,31,Central Defender,Jonathan,Wheeldon,J. Wheeldon,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,71,57,73.7%,100.0%,0,0,0.01,0.02,0,1,1,0,0.0%,-,37.5%,50.0%,7,FOR vs CAV,2020-08-14,7st0tt53e4ksjueglfgouulg4,15377,7ta110w4agnmtkjsfpgilj2wa:2126218,FOR vs CAV (2020-08-14)
38,1,16q3kpp7uxqjn9993xd5woauh,213571,90,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,70,57,86.0%,77.3%,2,0,0.24,0.03,0,1,1,0,0.0%,33.3%,71.4%,100.0%,4,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,16614,16q3kpp7uxqjn9993xd5woauh:2126235,ATO vs VAL (2020-08-19)
38,1,8xiikcvufow3u6jo0opzhtip5,243903,90,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,70,57,73.7%,-,0,0,0.01,0.00,0,0,0,0,-,50.0%,85.7%,100.0%,2,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15378,8xiikcvufow3u6jo0opzhtip5:2126228,VAL vs CAV (2020-08-16)
38,1,622w13rktz2os2jlo286col3p,168505,90,24,Central Midfielder,Manuel,Aparicio,M. Aparicio,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,70,56,78.6%,90.9%,0,0,0.07,0.00,0,0,0,0,-,50.0%,55.6%,-,6,Y9 vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15378,622w13rktz2os2jlo286col3p:2126241,Y9 vs VAL (2020-08-22)
38,1,9bu481g5htyonfco9whsamve2,483062,90,30,Right Attacking Midfielder,Mohamed,Kourouma,M. Kourouma,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,70,44,77.3%,78.3%,1,0,0.18,0.18,0,4,4,1,25.0%,0.0%,41.7%,0.0%,5,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,6925,9bu481g5htyonfco9whsamve2:2126243,ATO vs EDM (2020-08-23)
42,1,b84lif9t7gwlw9ou9izawvumt,40345,90,33,Right Centre Back,David,Edgar,D. Edgar,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,69,53,77.4%,-,0,0,0.00,0.00,0,0,0,0,-,50.0%,83.3%,50.0%,5,FOR vs CAV,2020-08-14,7st0tt53e4ksjueglfgouulg4,15381,b84lif9t7gwlw9ou9izawvumt:2126218,FOR vs CAV (2020-08-14)
42,1,16q3kpp7uxqjn9993xd5woauh,213571,90,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,69,54,85.2%,66.7%,0,0,0.56,0.03,0,1,0,0,0.0%,100.0%,44.4%,0.0%,5,Y9 vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15382,16q3kpp7uxqjn9993xd5woauh:2126241,Y9 vs VAL (2020-08-22)
42,1,7lqj7hx4na2kvl5doan797vmx,250776,90,25,Right Centre Back,Dominick,Zator,D. Zator,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,69,63,92.1%,100.0%,1,0,0.02,0.08,0,1,1,0,0.0%,-,100.0%,100.0%,1,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15378,7lqj7hx4na2kvl5doan797vmx:2126228,VAL vs CAV (2020-08-16)
45,1,2zedqkn15thv6wx5xmgv48gd1,140123,90,29,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,68,55,83.6%,90.0%,1,0,0.16,0.00,0,0,0,0,-,0.0%,40.0%,0.0%,8,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15376,2zedqkn15thv6wx5xmgv48gd1:2126238,HFX vs FOR (2020-08-20)
45,1,1mcgu1zocg8bwfrncptuvfm51,90443,90,34,Central Defender,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,68,63,93.7%,-,0,0,0.00,0.00,0,0,0,0,-,-,-,-,3,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15378,1mcgu1zocg8bwfrncptuvfm51:2126228,VAL vs CAV (2020-08-16)
45,1,20o0wuwg7mm8ynf0msec3a06i,481560,90,28,Right Midfielder,Dean,Northover,D. Northover,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,68,46,63.0%,88.9%,1,0,0.07,0.00,0,0,0,0,-,50.0%,70.0%,0.0%,6,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,20o0wuwg7mm8ynf0msec3a06i:2126244,CAV vs HFX (2020-08-24)
48,1,41fep3jlo1ieyq9hvpmsl6wvd,225056,90,21,Right Midfielder,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,67,35,77.1%,80.0%,0,0,0.03,0.00,0,0,0,0,-,66.7%,77.8%,100.0%,3,PAC vs Y9,2020-08-19,7tas4i6lxq9imfed8t0627m6s,15382,41fep3jlo1ieyq9hvpmsl6wvd:2126232,PAC vs Y9 (2020-08-19)
48,1,1yufrkhruoxnyg54sxgduilt5,423654,90,24,Right Wing Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,67,42,81.0%,100.0%,1,0,0.01,0.00,0,0,0,0,-,-,37.5%,50.0%,8,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,15377,1yufrkhruoxnyg54sxgduilt5:2126225,FOR vs EDM (2020-08-16)
48,1,bxbh5i1uqhe22e2cft5x6fl2i,425644,90,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,67,36,66.7%,80.0%,0,0,0.02,0.05,0,1,0,0,0.0%,83.3%,80.0%,100.0%,5,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15377,bxbh5i1uqhe22e2cft5x6fl2i:2126238,HFX vs FOR (2020-08-20)
