team,name,position,tp,number,nationality,dob,image,flag,link,overall,display,p,al,gl,ol
Valour FC,Diego Gutiérrez,m,7,8,Canada,1997-02-18,Diego-Gutiérrez.jpg,Canada.png,https://en.wikipedia.org/wiki/Diego_Gutiérrez,0.41,Diego Gutiérrez,0,0,0,0
Valour FC,Ali Musse,m,9,23,Canada,1996-01-01,Ali-Musse.jpg,Canada.png,https://en.wikipedia.org/wiki/Ali_Musse,0.35,Ali Musse,0,0,0,0
Valour FC,Michael Petrasso,m,11,9,Canada,1995-07-09,Michael-Petrasso.jpg,Canada.png,https://en.wikipedia.org/wiki/Michael_Petrasso,0.6,Michael Petrasso,0,0,0,0
Valour FC,Louis Béland-Goyette,m,6,5,Canada,1995-09-15,Louis-Béland-Goyette.jpg,Canada.png,https://en.wikipedia.org/wiki/Louis_Béland-Goyette,0.64,Louis Béland-Goyette,0,0,0,0
Valour FC,Calum Ferguson,f,9,12,Canada,1995-02-12,Calum-Ferguson.jpg,Canada.png,https://en.wikipedia.org/wiki/Calum_Ferguson,0.06,Calum Ferguson,0,0,0,0
Valour FC,Marco Bustos,m,10,22,Canada,1996-04-22,Marco-Bustos.jpg,Canada.png,https://en.wikipedia.org/wiki/Marco_Bustos,0.91,Marco Bustos,0,0,0,0
Valour FC,Federico Peña,f,8,77,Canada,1999-03-30,Federico-Peña.jpg,Canada.png,https://en.wikipedia.org/wiki/Federico_Peña,0.05,Federico Peña,0,0,0,0
Valour FC,José Antonio Galán Pedrosa,m,8,21,Spain,1986-02-02,empty.jpg,Spain.png,https://en.wikipedia.org/wiki/José_Antonio_Galán_Pedrosa,0.25,José Galán,0,0,0,0
Valour FC,Michele Paolucci,f,9,17,Italy,1986-02-06,empty.jpg,Italy.png,https://en.wikipedia.org/wiki/Michele_Paolucci,0.3,Michele Paolucci,0,0,0,0
York9 FC,Nathan Ingham,g,1,29,Canada,1993-06-27,Nathan-Ingham.jpg,Canada.png,https://en.wikipedia.org/wiki/Nathan_Ingham,0.93,Nathan Ingham,1,0,0,0
York9 FC,Daniel Gogarty,d,4,2,Canada,1996-12-07,Daniel-Gogarty.jpg,Canada.png,https://en.wikipedia.org/wiki/Daniel_Gogarty,0.41,Daniel Gogarty,0,0,0,0
York9 FC,Morey Doner,d,2,3,Canada,1994-03-25,Morey-Doner.jpg,Canada.png,https://en.wikipedia.org/wiki/Morey_Doner,0.86,Morey Doner,0,0,0,0
York9 FC,Justin Springer,d,4,5,Saint Kitts and Nevis,1993-07-08,Justin-Springer.jpg,StKitts.png,https://en.wikipedia.org/wiki/Justin_Springer,0.29,Justin Springer,0,0,0,0
York9 FC,Roger Thompson,d,5,6,Canada,1991-12-19,Roger-Thompson.jpg,Canada.png,https://en.wikipedia.org/wiki/Roger_Thompson,0.23,Roger Thompson,0,0,0,0
York9 FC,Austin Ricci,f,9,7,Canada,1996-04-08,Austin-Ricci.jpg,Canada.png,https://en.wikipedia.org/wiki/Austin_Ricci,0.09,Austin Ricci,0,0,0,0
York9 FC,Joseph Di Chiara,m,6,8,Canada,1992-01-30,Joseph-DiChiara.jpg,Canada.png,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,0.46,Joseph Di Chiara,0,0,0,0
York9 FC,Manuel Aparicio,m,8,10,Canada,1995-09-17,Manuel-Aparicio.jpg,Canada.png,https://en.wikipedia.org/wiki/Manuel_Aparicio,0.64,Manny Aparicio,0,0,0,0
York9 FC,Emilio Estevez Tsai,m,8,11,Canada,1998-08-10,Emilio-Estevez.jpg,Canada.png,https://en.wikipedia.org/wiki/Emilio_Estevez,0.21,Emilio Estevez,0,0,0,0
York9 FC,Simon Karlsson Adjei,f,9,12,Sweden,1993-11-10,Simon-KarlssonAdjei.jpg,Sweden.png,https://en.wikipedia.org/wiki/Simon_Karlsson_Adjei,0.47,Simon Karlsson Adjei,0,0,0,0
York9 FC,Luca Gasparotto,d,4,13,Canada,1995-03-09,Luca-Gasparotto.jpg,Canada.png,https://en.wikipedia.org/wiki/Luca_Gasparotto,0.93,Luca Gasparotto,0,0,0,0
York9 FC,Cyrus Rollocks,f,9,17,Canada,1998-03-03,Cyrus-Rollocks.jpg,Canada.png,https://en.wikipedia.org/wiki/Cyrus_Rollocks,0.05,Cyrus Rollocks,0,0,0,0
York9 FC,Ryan Telfer,m,11,18,Canada,1994-03-04,Ryan-Telfer.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_Telfer,0.79,Ryan Telfer,0,0,0,0
York9 FC,Kyle Porter,m,7,19,Canada,1990-01-19,Kyle-Porter.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Porter,0.65,Kyle Porter,0,0,0,0
York9 FC,Diyaeddine Abzi,d,3,20,Canada,1998-11-23,Diyaeddine-Abzi.jpg,Canada.png,https://en.wikipedia.org/wiki/Diyaeddine_Abzi,0.92,Diyaeddine Abzi,0,0,0,0
York9 FC,Wataru Murofushi,m,8,23,Japan,1995-06-13,Wataru-Murofushi.jpg,Japan.png,https://en.wikipedia.org/wiki/Wataru_Murofushi,0.45,Wataru Murofushi,0,0,0,0
York9 FC,Colm Vance,g,1,31,Canada,1992-08-31,Colm-Vance.jpg,Canada.png,https://en.wikipedia.org/wiki/Colm_Vance,0.06,Colm Vance,0,0,0,0
York9 FC,Steven Furlano,d,2,77,Canada,1998-02-06,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Steven_Furlano,0.17,Steven Furlano,0,0,0,0
York9 FC,Michael Cox,f,9,92,Canada,1992-08-02,Michael-Cox.jpg,Canada.png,https://en.wikipedia.org/wiki/Michael_Cox,0.03,Michael Cox,0,0,0,0
York9 FC,Rodrigo Pablo Gattas Bertoni,f,9,22,Chile,1991-12-02,empty.jpg,Chile.png,https://en.wikipedia.org/wiki/Rodrigo_Gattas,0.7,Rodrigo Gattas,0,0,0,0
York9 FC,Matthew Silva,g,1,1,Canada,1991-03-28,Matthew-Silva.jpg,Canada.png,https://en.wikipedia.org/wiki/Matt_Silva,0.0,Matt Silva,0,0,0,0
York9 FC,Emmanuel Zambazis,m,8,14,Canada,1997-04-24,Emmanuel-Zambazis.jpg,Canada.png,https://en.wikipedia.org/wiki/Emmanuel_Zambazis,0.26,Emmanuel Zambazis,0,0,0,0
York9 FC,Stefan Lamanna,f,9,21,Canada,1995-07-31,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Stefan_Lamanna,0.05,Stefan Lamanna,0,0,0,0
