team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
HFX Wanderers FC,Duran Lee,16,d,Duran,Lee,678.0,385.0,274.0,0.75,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0,24.0,70.0,40.0,21.0,9.0,1.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Elliot Simmons,8,m,Elliot,Simmons,969.0,636.0,482.0,0.88,21.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,3.0,27.0,17.0,103.0,51.0,11.0,18.0,2.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Elton John,5,m,Elton,John,1435.0,829.0,592.0,0.84,4.0,0.0,1.0,7.0,0.0,11.0,3.0,3.0,8.0,45.0,30.0,182.0,93.0,28.0,21.0,4.0,0.0,17.0,31.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Jan-Michael Williams,21,g,Jan-Michael,Williams,1028.0,396.0,268.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,9.0,0.0,1.0,1.0,2.0,1.0,59.0,40.0,4.0,2.0
HFX Wanderers FC,Juan Diego Gutiérrez,7,m,Juan,Diego Gutiérrez,1240.0,648.0,353.0,0.84,53.0,0.0,0.0,12.0,2.0,16.0,5.0,4.0,12.0,24.0,15.0,190.0,87.0,5.0,11.0,3.0,0.0,39.0,24.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Kodai Iida,9,m,Kodai,Iida,1180.0,606.0,361.0,1.0,29.0,1.0,2.0,19.0,1.0,19.0,6.0,9.0,10.0,13.0,8.0,138.0,73.0,1.0,7.0,1.0,0.0,35.0,13.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Kouamé Ouattara,13,m,Kouamé,Ouattara,229.0,124.0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,26.0,8.0,2.0,3.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Luis Alberto Perea,10,f,Luis,Alberto Perea,1014.0,441.0,302.0,0.74,4.0,0.0,1.0,12.0,3.0,18.0,11.0,12.0,6.0,10.0,6.0,99.0,41.0,1.0,2.0,2.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Matthew Arnone,23,d,Matthew,Arnone,2094.0,1181.0,905.0,0.81,1.0,0.0,0.0,6.0,2.0,11.0,3.0,10.0,1.0,31.0,20.0,170.0,106.0,99.0,49.0,3.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Mohamed Kourouma,12,f,Mohamed,Kourouma,1988.0,1285.0,702.0,0.81,156.0,0.33,3.0,44.0,1.0,68.0,17.0,23.0,45.0,56.0,40.0,264.0,123.0,10.0,17.0,0.0,0.0,29.0,22.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Ndzemdzela Langwa,20,d,Ndzemdzela,Langwa,1281.0,1000.0,479.0,0.82,31.0,0.0,0.0,10.0,0.0,6.0,3.0,2.0,4.0,65.0,47.0,272.0,154.0,20.0,14.0,3.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0
HFX Wanderers FC,Peter Schaale,2,d,Peter,Schaale,1530.0,930.0,666.0,0.77,0.0,0.0,1.0,4.0,1.0,23.0,5.0,17.0,6.0,42.0,29.0,177.0,107.0,100.0,24.0,2.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0
