team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display
York United,25.0,cm,Manuel Aparicio,0.45,90,0.07,0.1,0.33,0.0,0.33,0.0,0.0,1.5,63.17,11.12,13.17,7.83,Manny Aparicio
HFX Wanderers,25.0,dm,Andre Rampersad,0.44,90,0.02,0.11,0.0,0.0,0.0,0.0,0.22,0.56,59.0,6.34,9.33,6.44,Andre Rampersad
Cavalry,35.0,cm,Nikolas Ledgerwood,0.43,90,0.19,0.13,0.2,0.2,0.0,0.0,0.2,6.4,50.6,15.0,14.2,9.6,Nik Ledgerwood
Forge,28.0,cm,Maxim Tissot,0.42,90,0.22,0.62,0.25,0.0,0.25,0.0,0.5,5.75,67.75,15.0,18.75,9.25,Maxim Tissot
Atlético Ottawa,32.0,cam,Francisco Javier Acuña Víctor,0.42,90,0.06,0.19,0.33,0.0,0.0,0.0,0.33,2.67,58.67,8.73,14.0,7.5,Francisco Acuña
Pacific,22.0,dm,Matthew Baldisimo,0.42,90,0.01,0.07,0.0,0.0,0.0,0.0,0.1,0.3,55.9,6.34,8.0,5.6,Matthew Baldisimo
HFX Wanderers,22.0,ram,Alex Marshall,0.4,90,0.06,0.16,0.0,0.0,0.0,0.0,0.33,3.0,51.33,11.9,12.5,8.83,Alex Marshall
Atlético Ottawa,30.0,ram,Mohamed Kourouma,0.39,90,0.23,0.08,0.14,0.0,0.0,0.0,0.0,4.57,54.71,9.53,11.0,7.0,Mohamed Kourouma
York United,30.0,cam,Kyle Porter,0.36,90,0.14,0.16,0.25,0.0,0.0,0.0,0.25,5.75,49.75,20.0,21.5,10.25,Kyle Porter
Valour,23.0,cm,Moses Dyer,0.36,90,0.28,0.04,0.33,0.0,0.0,0.33,0.0,1.0,44.67,33.33,27.33,19.67,Moses Dyer
HFX Wanderers,25.0,cm,Aboubacar Sissoko,0.36,90,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.12,64.5,8.34,10.25,6.25,Aboubacar Sissoko
Valour,25.0,cm,Dylan Carreiro,0.35,90,0.42,0.08,0.25,0.0,0.0,0.0,0.0,5.0,47.25,17.85,19.5,18.5,Dylan Carreiro
