team,name,Min,Red,2ndYellow,Yellow,Fls,display,short
York9 FC,Max Ferrari,159,0,0,1,8,Max Ferrari,y9
Pacific FC,Alessandro Hojabrpour,385,0,0,0,5,Alessandro Hojabrpour,pac
Cavalry FC,Dominick Zator,900,0,0,0,9,Dominick Zator,cav
HFX Wanderers FC,Mateo Restrepo,626,0,0,1,14,Mateo Restrepo,hfx
Cavalry FC,Elliot Simmons,627,0,0,1,9,Elliot Simmons,cav
Forge FC,Paolo Sabak,752,0,0,1,14,Paolo Sabak,for
Pacific FC,Victor Blasco,644,0,0,2,11,Victor Blasco,pac
HFX Wanderers FC,Louis Béland-Goyette,648,0,0,3,23,Louis Béland-Goyette,hfx
Forge FC,Alexander Börje Achinioti-Jönsson,792,0,0,1,12,Alexander Achinioti-Jönsson,for
Pacific FC,Jordan Haynes,465,0,0,2,5,Jordan Haynes,pac
Atlético Ottawa,Malyk Hamilton,630,0,0,0,10,Malyk Hamilton,ato
